Reference,Value,Footprint,Qty
C1,100u,C_Radial_D5.0mm_H11.0mm_P2.00mm,1
"C2,C4,C7",1u,C_0603,3
"C3,C6,C8,C9,C10",0.1u,C_0603,5
C5,0.47u,C_0603,1
D4,1N5822,D_DO-201AD_P15.24mm_Horizontal,1
J1,MSD-1-A,MSD-1-A,1
J8,Header_UPDI,PinHeader_2x03_P2.54mm_Vertical,1
"Q1,Q2",D882,SOT-89-3,2
Q3,BC856,SOT-23-3,1
"R1,R3",20k,R_0603,2
"R2,R4",49.9,R_0603,2
"R5,R6,R9",200,R_0603,3
R7,1M,R_0603,1
"R8,R10",100k,R_0603,2
R11,47k,R_0603,1
U1,ATtiny1614-SS,14-SOIC,1
U2,W25Q128JVS,8-SOIC,1
U3,MIC5504-3.3YM5,SOT-23-5,1
U4,TPL5110DDCTQ1,SOT-23-6,1
U5,IS31AP4991-SLS2,8-MSOP,1
